0.00	0.00	0.00
7.19	-20.97	-355.22
1.88	-161.87	202.58
-2.55	264.95	177.58
2.75	-57.28	-525.72
0.35	196.51	4.41
6.67	-4.44	-430.68
4.03	-163.88	-38.74
4.08	62.70	-263.81
3.39	-184.06	178.68
0.64	82.11	-90.23
-0.78	158.70	-53.87
-0.13	-36.30	-78.19
-0.51	46.86	228.34
-0.77	-104.69	50.98
-1.85	30.08	56.49
-2.53	53.10	288.00
-3.08	-142.03	294.18
-1.05	-109.29	4.79
-0.41	-73.53	19.89
-0.18	35.19	-53.48
1.17	-64.07	-78.96
-1.77	-14.95	246.82
-2.58	-6.99	121.72
-3.27	-12.97	140.09
-4.44	-30.01	179.04
-6.81	-33.77	302.15
-6.20	148.18	141.82
-6.37	129.58	78.14
-2.29	82.96	59.22
3.65	-178.06	-127.80
4.73	-24.20	-292.43
6.05	-88.08	-143.20
3.72	4.70	-131.99
3.98	49.03	-180.25
3.40	-19.00	-97.12
1.86	-91.27	180.95
2.38	-45.75	-183.60
-2.05	12.65	51.44
-1.43	58.46	41.18
-3.43	-28.11	147.14
-3.99	-27.88	260.01
-4.20	64.53	36.76
-6.94	117.51	86.63
-3.51	52.06	-50.44
-1.10	40.41	53.76
-1.04	30.67	-39.65
0.22	57.22	-38.30
3.20	9.67	-112.10
5.28	-99.86	-159.99
7.39	-81.09	-361.74
5.77	-57.33	-16.79
3.39	-54.54	-70.59
-0.27	80.92	232.94
2.21	-50.34	-110.76
1.75	-51.03	-37.95
0.47	-15.78	-7.97
0.27	-8.65	-10.83
-1.82	36.48	-21.43
-3.01	61.37	75.84
-7.30	120.47	186.06
-6.22	118.06	116.08
-4.15	61.78	24.34
2.01	22.60	-210.06
7.97	-95.40	-305.37
7.93	-63.17	-163.22
6.63	19.03	-161.59
10.32	-59.80	-582.41
9.60	47.41	-296.01
10.22	-24.89	-306.39
7.90	-81.55	-115.77
6.05	13.55	-73.97
5.56	11.08	-26.31
4.03	-183.78	305.20
3.36	-129.99	41.16
1.01	-188.21	219.17
-1.91	-134.01	333.17
-7.44	-24.29	362.13
-12.14	-14.33	461.85
-16.72	104.94	651.17
-18.69	84.52	405.25
-18.39	143.54	481.08
-18.85	146.44	282.90
-16.32	203.02	73.97
-10.71	95.68	268.75
-2.98	41.86	-294.35
4.54	-9.31	-392.31
6.75	-85.13	-180.34
13.07	-8.82	-627.60
14.21	-68.83	-601.48
12.51	-44.94	-266.80
9.68	116.08	-258.66
8.02	1.17	-517.81
5.76	5.20	-60.80
1.03	9.67	145.37
-3.01	93.95	120.65
-2.81	60.93	40.94
-0.81	-76.60	-146.82
-3.36	-64.75	414.53
-5.33	17.17	319.01
-8.77	-58.05	610.55
-8.96	-37.11	363.35
-7.75	6.41	166.02
-8.76	100.63	354.80
-5.61	22.61	18.44
-1.13	-9.43	-70.92
-1.30	-10.51	146.79
3.89	-38.16	-227.27
4.89	-83.86	-91.17
